Team,Goals,Goals Allowed,Faceoff Wins (%),Man-Up Goal (%),Man-Down No Goal (%),Scoring Margin,Winning Percentage,Turnovers,Caused Turnovers,Shot Percentage,GB,Assists,Saves,Clearing (%),Points,Winning Percentage
Air Force,7.87,10.67,0.526,0.281,0.511,-2.8,0.333,12.27,5.07,0.253,20.73,3.53,8.4,0.826,11.4,0.333
Bellarmine,7.85,9.38,0.487,0.326,0.771,-1.54,0.308,14.85,7.38,0.241,22.15,4.62,11.62,0.791,12.46,0.308
Binghamton,8,12.87,0.418,0.205,0.761,-4.87,0.267,12.6,6.73,0.245,22.47,3.53,11.53,0.838,11.53,0.267
Delaware,10.57,10.5,0.453,0.236,0.737,0.07,0.429,10.86,6.43,0.291,26.29,4.71,11.79,0.876,15.29,0.429
Drexel,10.38,12.46,0.475,0.34,0.673,-2.08,0.385,13.85,5.23,0.321,23.85,5.46,10.54,0.888,15.85,0.385
Fairfield,8.8,10.6,0.488,0.476,0.73,-1.8,0.267,12.47,5.8,0.259,26.6,5.93,9.07,0.863,14.73,0.267
Furman,8.86,12.14,0.311,0.289,0.58,-3.29,0.286,13.71,6.36,0.305,21.93,4.86,11.93,0.873,13.71,0.286
Harvard,10.85,11.77,0.466,0.308,0.618,-0.92,0.538,13.46,5.31,0.283,25.31,7.08,12.92,0.892,17.92,0.538
Hofstra,8.57,7.86,0.549,0.326,0.709,0.71,0.429,10.64,4.64,0.263,23,5,10.21,0.901,13.57,0.429
Marist,8.07,11.6,0.448,0.295,0.643,-3.53,0.2,11.67,4.33,0.272,19.47,4.33,11.4,0.849,12.4,0.2
Marquette,7.86,9.86,0.561,0.271,0.714,-2,0.429,13,5.21,0.233,25.14,4,8.79,0.87,11.86,0.429
Mercer,8.07,10.43,0.438,0.226,0.608,-2.36,0.286,14.07,7.71,0.241,24,4.29,10.21,0.819,12.36,0.286
Michigan,10.14,9.71,0.491,0.267,0.696,0.43,0.571,13.21,6.29,0.293,24.36,5.29,11.36,0.858,15.43,0.571
Monmouth,10.2,9,0.378,0.362,0.69,1.2,0.467,10.87,7.2,0.287,26.8,5.53,11.93,0.936,15.73,0.467
North Carolina,10.93,10.93,0.441,0.477,0.698,0,0.5,10.64,5.5,0.308,26.29,5.93,9.79,0.874,16.86,0.5
Notre Dame,10.07,8.6,0.526,0.315,0.611,1.47,0.6,13.67,5.73,0.307,27.27,4.73,7.47,0.919,14.8,0.6
Ohio St.,8.93,8.6,0.579,0.273,0.525,0.33,0.533,12.13,5.73,0.269,28.6,4.6,8.67,0.934,13.53,0.533
Penn,9.4,10.53,0.46,0.414,0.678,-1.13,0.467,11.33,4.53,0.276,21.27,5.13,9.73,0.89,14.53,0.467
Providence,9.27,9.8,0.476,0.34,0.58,-0.53,0.333,11,4.27,0.267,20.93,5,11,0.914,14.27,0.333
Saint Joseph's,10,8,0.437,0.295,0.766,2,0.733,11.33,6.07,0.326,24.33,6.2,12,0.901,16.2,0.733
St. John's (NY),9.79,10,0.429,0.419,0.651,-0.21,0.429,10.93,6,0.302,25.36,6.21,11.07,0.871,16,0.429
Stony Brook,8.93,11.07,0.333,0.308,0.465,-2.13,0.467,11.47,5.67,0.283,22.07,5.53,9.6,0.886,14.47,0.467
Towson,8.93,9.6,0.604,0.256,0.538,-0.67,0.467,14.13,5.27,0.256,26.47,4.47,10,0.855,13.4,0.467
UMBC,6.85,7.77,0.354,0.206,0.765,-0.92,0.385,13,6.85,0.217,19.38,3.15,8.15,0.878,10,0.385
Villanova,10.75,11.38,0.426,0.439,0.569,-0.63,0.625,10.31,5.75,0.269,25.13,5.75,9.56,0.9,16.5,0.625
