Team,Goals,Goals Allowed,Faceoff Wins (%),Man-Up Goal (%),Man-Down No Goal (%),Scoring Margin,Winning Percentage,Turnovers,Caused Turnovers,Shot Percentage,GB,Assists,Saves,Clearing (%),Points,Winning Percentage
Albany (NY),14.42,8.63,0.769,0.375,0.609,5.79,0.842,12.42,5.68,0.326,33.26,9.58,10.47,0.918,24,0.842
Brown,11.73,12.27,0.54,0.407,0.682,-0.53,0.4,14.93,6.13,0.294,30.2,6.8,13.8,0.873,18.53,0.4
Bryant,11.33,9.73,0.675,0.366,0.697,1.6,0.533,13.73,6,0.296,32.13,5.07,8.73,0.888,16.4,0.533
Bucknell,11.67,9,0.459,0.326,0.65,2.67,0.733,10.67,7.4,0.328,26.07,6.4,8.93,0.874,18.07,0.733
Canisius,11.47,12.76,0.399,0.488,0.605,-1.29,0.471,12.82,6.35,0.36,26,7.29,10,0.894,18.76,0.471
Colgate,11.87,10.47,0.595,0.383,0.688,1.4,0.467,12.33,5.67,0.315,29.07,6.53,9.07,0.866,18.4,0.467
Cornell,13.56,9.22,0.443,0.375,0.661,4.33,0.722,11.39,7.11,0.389,28.83,9.56,11.56,0.86,23.11,0.722
Denver,11.35,7.88,0.738,0.512,0.556,3.47,0.765,11.88,4.88,0.328,26.71,6.71,7.12,0.882,18.06,0.765
Detroit Mercy,10.31,9.38,0.477,0.288,0.679,0.94,0.563,14.38,8.56,0.292,29.38,6,11.13,0.889,16.31,0.563
Duke,13.6,8.65,0.51,0.5,0.667,4.95,0.8,11.1,7.65,0.372,31.2,7.5,9.5,0.895,21.1,0.8
Georgetown,11.06,8.12,0.487,0.372,0.718,2.94,0.706,11.65,7.18,0.333,26.06,6.82,9.76,0.911,17.88,0.706
Jacksonville,11.53,10.4,0.701,0.311,0.735,1.13,0.533,15.67,7.07,0.322,33.2,6.47,8.6,0.875,18,0.533
Johns Hopkins,11.71,9.71,0.524,0.355,0.68,2,0.706,10.88,5.59,0.294,27,7.29,9.88,0.897,19,0.706
Lehigh,10.59,9.47,0.591,0.634,0.66,1.12,0.588,13.53,7.71,0.321,30.82,6.65,8.71,0.875,17.24,0.588
Loyola Maryland,13.12,8.71,0.426,0.255,0.69,4.41,0.765,12.24,9.65,0.351,30.88,7.41,10,0.868,20.53,0.765
Maryland,11.67,9.44,0.528,0.591,0.784,2.22,0.778,9.83,4.89,0.353,26.17,6.61,10.39,0.891,18.28,0.778
Massachusetts,11.59,10,0.567,0.361,0.683,1.59,0.706,13.59,7.94,0.309,28.88,7.65,11.82,0.887,19.24,0.706
Penn St.,12.57,9.57,0.655,0.265,0.788,3,0.571,12.71,6,0.34,31.07,6.86,11.21,0.888,19.43,0.571
Princeton,13.62,12.15,0.48,0.471,0.625,1.46,0.615,12.54,7,0.358,31.15,9.23,13.15,0.819,22.85,0.615
Quinnipiac,11.73,10.2,0.557,0.364,0.58,1.53,0.6,13.27,7.6,0.287,32.33,5.93,10.13,0.846,17.67,0.6
Richmond,10.65,10.47,0.417,0.44,0.725,0.18,0.647,12.76,7.06,0.304,26.94,6.71,9.76,0.92,17.35,0.647
Robert Morris,11.56,8,0.412,0.429,0.771,3.56,0.722,13.44,9.39,0.339,28.11,6.89,11,0.91,18.44,0.722
Rutgers,11.2,9.53,0.46,0.289,0.698,1.67,0.6,11.4,6.47,0.329,27.8,6.73,9.53,0.881,17.93,0.6
Syracuse,11.27,10.67,0.482,0.381,0.642,0.6,0.533,12.4,7.93,0.328,30.47,6.47,9.4,0.857,17.73,0.533
Vermont,10.31,8.06,0.46,0.279,0.667,2.25,0.75,15.19,7.81,0.324,27.19,5.81,12.06,0.852,16.13,0.75
Virginia,12.61,11.44,0.577,0.382,0.676,1.17,0.667,14.83,8.28,0.321,38,7.72,10.61,0.849,20.33,0.667
Yale,13.9,8.8,0.6,0.47,0.636,5.1,0.85,12.8,8.2,0.33,32.75,7.95,8.05,0.869,21.85,0.85
